"playerid","name","teamname","totalgoals","totalassists","averageminutesplayed","playedover300min","agebetween25and30","scored3plusgoalsinmatch","estimatedmatchesplayed","playedinfrance","datejoinedfrenchteam","playedingermany","datejoinedgermanteam"
120,William Jones,Paris Kings,6,0,65.0000000000000000,"0","1","1","2 match15 min",1,,0,
291,Michael Jones,Arsenal Stars,3,4,60.0000000000000000,"0","1","1","2 match0 min",0,,0,
15,Liam Davis,Roma United,1,3,82.5000000000000000,"0","0","0","1 match75 min",0,,1,
226,Liam Garcia,Manchester Hawks,4,1,67.5000000000000000,"0","0","0","1 match45 min",0,,0,
48,Michael Hernandez,Turin Stars,10,3,72.0000000000000000,"1","0","1","4 match0 min",0,,1,
187,Liam Davis,Lille Athletics,3,3,52.5000000000000000,"0","0","0","1 match15 min",1,,0,
349,Lucas Hernandez,Valencia CF,2,2,60.0000000000000000,"0","1","0","2 match0 min",0,,0,
298,Daniel Jones,Arsenal Stars,1,1,60.0000000000000000,"0","0","0","0 match60 min",0,,0,
57,William Jones,Turin Stars,0,2,75.0000000000000000,"0","1","0","0 match75 min",0,,1,
19,Alexander Smith,Roma United,3,2,75.0000000000000000,"0","1","1","0 match75 min",0,,1,
81,Daniel Rodriguez,Venice Rovers,5,3,60.0000000000000000,"0","0","1","2 match0 min",0,,1,
61,Daniel Garcia,Naples FC,4,4,60.0000000000000000,"0","0","0","2 match0 min",0,,1,
160,Alexander Hernandez,Marseille United,0,0,45.0000000000000000,"0","1","0","0 match45 min",1,,0,
244,Alexander Miller,Liverpool FC,4,1,67.5000000000000000,"0","1","0","1 match45 min",0,,0,
357,James Johnson,Valencia CF,3,2,45.0000000000000000,"0","0","1","0 match45 min",0,,0,
242,William Johnson,Liverpool FC,5,0,82.5000000000000000,"0","1","1","1 match75 min",0,,0,
331,Oliver Miller,Madrid United,0,0,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
251,Alexander Smith,Liverpool FC,3,0,45.0000000000000000,"0","0","1","0 match45 min",0,,0,
204,Benjamin Brown,London Lions,7,4,78.7500000000000000,"1","1","1","3 match45 min",0,,0,
266,Alexander Miller,Chelsea United,3,3,67.5000000000000000,"0","0","0","3 match0 min",0,,0,
5,Henry Rodriguez,Roma United,6,2,67.5000000000000000,"0","1","1","3 match0 min",0,,1,
104,Alexander Brown,Paris Kings,9,1,75.0000000000000000,"1","0","1","4 match15 min",1,,0,
171,Lucas Brown,Bordeaux FC,4,5,65.0000000000000000,"0","1","1","2 match15 min",1,,0,
315,Alexander Johnson,Barcelona FC,2,0,75.0000000000000000,"0","0","0","1 match60 min",0,,0,
366,Benjamin Johnson,Seville Stars,8,6,66.0000000000000000,"1","1","1","3 match60 min",0,,0,
307,James Martinez,Barcelona FC,9,0,60.0000000000000000,"0","0","1","2 match60 min",0,,0,
397,Liam Martinez,Bilbao Rovers,3,3,71.2500000000000000,"0","0","1","3 match15 min",0,,0,
347,Michael Davis,Valencia CF,10,2,78.7500000000000000,"1","0","1","3 match45 min",0,,0,
283,William Hernandez,Arsenal Stars,6,0,67.5000000000000000,"0","0","1","3 match0 min",0,,0,
54,Michael Garcia,Turin Stars,3,0,52.5000000000000000,"0","0","1","1 match15 min",0,,1,
305,Michael Hernandez,Barcelona FC,9,4,63.0000000000000000,"1","1","1","3 match45 min",0,,0,
179,William Martinez,Bordeaux FC,2,0,70.0000000000000000,"0","0","0","2 match30 min",1,,0,
4,Michael Hernandez,Roma United,4,0,45.0000000000000000,"0","1","1","1 match0 min",0,,1,
181,Henry Smith,Lille Athletics,7,1,75.0000000000000000,"0","0","1","3 match30 min",1,,0,
321,Lucas Martinez,Madrid United,0,1,90.0000000000000000,"0","1","0","1 match0 min",0,,0,
96,Benjamin Jones,Venice Rovers,2,1,52.5000000000000000,"0","0","0","1 match15 min",0,,1,
361,Oliver Miller,Seville Stars,4,2,90.0000000000000000,"0","1","1","2 match0 min",0,,0,
201,James Rodriguez,London Lions,3,3,60.0000000000000000,"0","1","0","1 match30 min",0,,0,
105,Benjamin Miller,Paris Kings,3,2,90.0000000000000000,"0","1","1","1 match0 min",1,,0,
35,Benjamin Smith,Milan City,4,1,60.0000000000000000,"0","0","1","1 match30 min",0,,1,
107,Alexander Brown,Paris Kings,6,2,60.0000000000000000,"0","1","1","1 match30 min",1,,0,
6,Lucas Brown,Roma United,6,0,67.5000000000000000,"0","0","1","1 match45 min",0,,1,
233,Alexander Miller,Manchester Hawks,8,0,85.0000000000000000,"1","0","1","5 match60 min",0,,0,
220,Alexander Hernandez,London Lions,3,1,67.5000000000000000,"0","1","0","3 match0 min",0,,0,
86,Michael Hernandez,Venice Rovers,8,2,65.0000000000000000,"1","0","1","4 match30 min",0,,1,
400,William Hernandez,Bilbao Rovers,4,2,82.5000000000000000,"0","0","1","1 match75 min",0,,0,
89,Benjamin Brown,Venice Rovers,7,0,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
219,Daniel Garcia,London Lions,2,0,75.0000000000000000,"0","0","0","1 match60 min",0,,0,
373,Benjamin Smith,Seville Stars,13,1,72.8571428571428571,"1","0","1","5 match60 min",0,,0,
175,Michael Rodriguez,Bordeaux FC,3,1,75.0000000000000000,"0","0","0","2 match45 min",1,,0,
252,Oliver Rodriguez,Liverpool FC,7,2,55.0000000000000000,"0","0","1","1 match75 min",0,,0,
241,Henry Hernandez,Liverpool FC,1,0,63.7500000000000000,"0","0","0","2 match75 min",0,,0,
363,Oliver Johnson,Seville Stars,4,7,81.0000000000000000,"1","1","1","4 match45 min",0,,0,
343,Alexander Miller,Valencia CF,4,0,82.5000000000000000,"0","0","1","1 match75 min",0,,0,
285,William Smith,Arsenal Stars,0,0,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
327,James Martinez,Madrid United,2,0,60.0000000000000000,"0","0","0","1 match30 min",0,,0,
50,Lucas Smith,Turin Stars,2,0,45.0000000000000000,"0","0","0","0 match45 min",0,,1,
14,Michael Miller,Roma United,3,2,90.0000000000000000,"0","1","0","2 match0 min",0,,1,
231,Alexander Martinez,Manchester Hawks,4,4,52.5000000000000000,"0","1","0","1 match15 min",0,,0,
66,Benjamin Martinez,Naples FC,3,1,75.0000000000000000,"0","0","0","2 match45 min",0,,1,
109,James Davis,Paris Kings,6,1,60.0000000000000000,"0","0","1","2 match0 min",1,,0,
340,Liam Rodriguez,Madrid United,7,4,63.0000000000000000,"1","0","0","3 match45 min",0,,0,
356,Lucas Rodriguez,Valencia CF,9,3,56.2500000000000000,"0","0","1","2 match45 min",0,,0,
155,Henry Jones,Marseille United,3,0,75.0000000000000000,"0","0","1","0 match75 min",1,,0,
133,Liam Martinez,Lyon Warriors,2,1,60.0000000000000000,"0","1","0","0 match60 min",1,,0,
391,James Garcia,Bilbao Rovers,4,5,60.0000000000000000,"0","0","0","2 match60 min",0,,0,
195,James Martinez,Lille Athletics,0,0,75.0000000000000000,"0","0","0","0 match75 min",1,,0,
2,Henry Brown,Roma United,2,1,60.0000000000000000,"0","0","0","0 match60 min",0,,1,
368,Lucas Jones,Seville Stars,0,0,60.0000000000000000,"0","0","0","0 match60 min",0,,0,
199,Henry Brown,Lille Athletics,2,2,60.0000000000000000,"0","1","0","2 match0 min",1,,0,
75,James Davis,Naples FC,6,7,69.0000000000000000,"1","0","0","3 match75 min",0,,1,
246,Alexander Johnson,Liverpool FC,7,1,55.0000000000000000,"0","0","1","1 match75 min",0,,0,
372,William Miller,Seville Stars,9,5,60.0000000000000000,"1","0","1","4 match0 min",0,,0,
369,Daniel Garcia,Seville Stars,3,1,65.0000000000000000,"0","1","0","2 match15 min",0,,0,
128,Lucas Martinez,Lyon Warriors,5,1,63.7500000000000000,"0","0","1","2 match75 min",1,,0,
243,Liam Brown,Liverpool FC,3,2,45.0000000000000000,"0","0","1","0 match45 min",0,,0,
166,Oliver Davis,Bordeaux FC,6,1,67.5000000000000000,"0","0","1","3 match0 min",1,,0,
344,Daniel Davis,Valencia CF,2,2,80.0000000000000000,"0","0","0","2 match60 min",0,,0,
142,Benjamin Johnson,Marseille United,5,1,60.0000000000000000,"0","0","1","1 match30 min",1,,0,
335,Lucas Martinez,Madrid United,5,0,67.5000000000000000,"0","0","1","1 match45 min",0,,0,
355,Liam Brown,Valencia CF,6,1,60.0000000000000000,"0","0","1","2 match60 min",0,,0,
383,Daniel Garcia,Bilbao Rovers,2,0,45.0000000000000000,"0","0","0","0 match45 min",0,,0,
7,Alexander Hernandez,Roma United,0,1,82.5000000000000000,"0","0","0","1 match75 min",0,,1,
301,William Davis,Barcelona FC,0,1,60.0000000000000000,"0","0","0","1 match30 min",0,,0,
222,Michael Miller,Manchester Hawks,7,1,60.0000000000000000,"0","0","1","2 match60 min",0,,0,
381,William Davis,Bilbao Rovers,2,1,60.0000000000000000,"0","0","0","1 match30 min",0,,0,
38,Lucas Johnson,Milan City,5,5,72.0000000000000000,"1","0","1","4 match0 min",0,,1,
359,Lucas Hernandez,Valencia CF,0,0,45.0000000000000000,"0","1","0","0 match45 min",0,,0,
193,William Davis,Lille Athletics,7,4,72.0000000000000000,"1","0","1","4 match0 min",1,,0,
254,James Smith,Liverpool FC,3,1,75.0000000000000000,"0","1","0","2 match45 min",0,,0,
164,Daniel Miller,Bordeaux FC,9,2,75.0000000000000000,"0","1","1","3 match30 min",1,,0,
377,Benjamin Martinez,Seville Stars,7,6,60.0000000000000000,"0","0","1","3 match30 min",0,,0,
78,Henry Martinez,Naples FC,4,2,50.0000000000000000,"0","0","0","1 match60 min",0,,1,
217,Lucas Jones,London Lions,9,6,66.0000000000000000,"1","0","1","3 match60 min",0,,0,
159,Benjamin Johnson,Marseille United,4,0,67.5000000000000000,"0","0","1","1 match45 min",1,,0,
186,Henry Hernandez,Lille Athletics,0,0,90.0000000000000000,"0","1","0","1 match0 min",1,,0,
250,Alexander Johnson,Liverpool FC,3,0,67.5000000000000000,"0","1","0","3 match0 min",0,,0,
47,Oliver Martinez,Turin Stars,2,1,45.0000000000000000,"0","0","0","0 match45 min",0,,1,
20,Oliver Jones,Roma United,4,0,67.5000000000000000,"0","1","1","1 match45 min",0,,1,
182,Daniel Davis,Lille Athletics,3,0,90.0000000000000000,"0","0","1","1 match0 min",1,,0,
319,Benjamin Hernandez,Barcelona FC,4,0,52.5000000000000000,"0","1","0","2 match30 min",0,,0,
1,Daniel Hernandez,Roma United,0,0,60.0000000000000000,"0","0","0","0 match60 min",0,,1,
76,Oliver Jones,Naples FC,4,2,65.0000000000000000,"0","0","0","2 match15 min",0,,1,
106,Lucas Jones,Paris Kings,3,1,52.5000000000000000,"0","0","0","1 match15 min",1,,0,
18,Michael Johnson,Roma United,0,0,45.0000000000000000,"0","0","0","0 match45 min",0,,1,
110,Benjamin Rodriguez,Paris Kings,6,2,70.0000000000000000,"0","0","1","2 match30 min",1,,0,
178,Benjamin Jones,Bordeaux FC,1,0,90.0000000000000000,"0","0","0","1 match0 min",1,,0,
129,Liam Martinez,Lyon Warriors,4,4,75.0000000000000000,"0","1","1","2 match45 min",1,,0,
27,Lucas Davis,Milan City,4,2,66.0000000000000000,"1","0","0","3 match60 min",0,,1,
143,James Brown,Marseille United,8,4,67.5000000000000000,"0","0","1","3 match0 min",1,,0,
203,James Miller,London Lions,8,4,78.0000000000000000,"1","0","1","4 match30 min",0,,0,
58,Benjamin Smith,Turin Stars,6,0,52.5000000000000000,"0","0","1","1 match15 min",0,,1,
8,Liam Johnson,Roma United,3,0,75.0000000000000000,"0","0","1","0 match75 min",0,,1,
228,Henry Martinez,Manchester Hawks,10,4,62.5000000000000000,"1","1","1","4 match15 min",0,,0,
346,Oliver Miller,Valencia CF,1,0,67.5000000000000000,"0","0","0","1 match45 min",0,,0,
294,Michael Rodriguez,Arsenal Stars,3,2,67.5000000000000000,"0","0","0","3 match0 min",0,,0,
370,Henry Hernandez,Seville Stars,1,2,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
71,Henry Rodriguez,Naples FC,4,2,67.5000000000000000,"0","1","0","3 match0 min",0,,1,
229,Daniel Smith,Manchester Hawks,5,3,67.5000000000000000,"0","0","1","1 match45 min",0,,0,
267,Alexander Martinez,Chelsea United,4,0,50.0000000000000000,"0","0","1","1 match60 min",0,,0,
68,Benjamin Davis,Naples FC,5,1,75.0000000000000000,"0","1","1","1 match60 min",0,,1,
304,Daniel Jones,Barcelona FC,4,0,72.0000000000000000,"1","0","0","4 match0 min",0,,0,
80,Oliver Jones,Naples FC,1,0,60.0000000000000000,"0","0","0","0 match60 min",0,,1,
52,Lucas Garcia,Turin Stars,2,3,50.0000000000000000,"0","0","0","1 match60 min",0,,1,
146,Michael Davis,Marseille United,5,0,70.0000000000000000,"0","1","1","2 match30 min",1,,0,
382,Lucas Brown,Bilbao Rovers,4,0,82.5000000000000000,"0","0","1","1 match75 min",0,,0,
258,Liam Davis,Liverpool FC,3,0,60.0000000000000000,"0","0","1","0 match60 min",0,,0,
162,Benjamin Smith,Bordeaux FC,4,1,55.0000000000000000,"0","0","0","1 match75 min",1,,0,
132,William Davis,Lyon Warriors,3,0,60.0000000000000000,"0","0","1","0 match60 min",1,,0,
341,Alexander Johnson,Valencia CF,0,2,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
322,James Brown,Madrid United,2,0,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
84,Michael Hernandez,Venice Rovers,3,5,55.0000000000000000,"0","1","0","1 match75 min",0,,1,
389,Michael Martinez,Bilbao Rovers,2,4,60.0000000000000000,"0","0","0","2 match60 min",0,,0,
170,Oliver Jones,Bordeaux FC,7,2,65.0000000000000000,"0","0","1","2 match15 min",1,,0,
192,Liam Hernandez,Lille Athletics,9,4,63.0000000000000000,"1","0","1","3 match45 min",1,,0,
276,Alexander Miller,Chelsea United,5,2,71.2500000000000000,"0","0","1","3 match15 min",0,,0,
330,Liam Hernandez,Madrid United,7,2,65.0000000000000000,"0","1","1","2 match15 min",0,,0,
237,James Martinez,Manchester Hawks,2,0,50.0000000000000000,"0","0","0","1 match60 min",0,,0,
101,Oliver Smith,Paris Kings,10,4,67.5000000000000000,"0","0","1","3 match0 min",1,,0,
69,Oliver Hernandez,Naples FC,5,2,45.0000000000000000,"0","0","1","1 match0 min",0,,1,
262,William Jones,Chelsea United,5,2,60.0000000000000000,"0","0","1","1 match30 min",0,,0,
323,Michael Rodriguez,Madrid United,0,2,45.0000000000000000,"0","0","0","0 match45 min",0,,0,
379,Henry Miller,Seville Stars,1,4,90.0000000000000000,"0","1","0","2 match0 min",0,,0,
348,Lucas Smith,Valencia CF,0,0,60.0000000000000000,"0","1","0","0 match60 min",0,,0,
337,Liam Brown,Madrid United,1,2,60.0000000000000000,"0","0","0","0 match60 min",0,,0,
320,Daniel Smith,Barcelona FC,3,3,82.5000000000000000,"0","0","1","1 match75 min",0,,0,
115,Lucas Johnson,Paris Kings,9,3,71.2500000000000000,"0","1","1","3 match15 min",1,,0,
375,Michael Jones,Seville Stars,6,1,80.0000000000000000,"0","0","1","2 match60 min",0,,0,
114,Lucas Jones,Paris Kings,3,0,45.0000000000000000,"0","0","0","1 match0 min",1,,0,
60,Michael Rodriguez,Turin Stars,0,0,45.0000000000000000,"0","0","0","0 match45 min",0,,1,
399,James Rodriguez,Bilbao Rovers,2,2,45.0000000000000000,"0","0","0","1 match0 min",0,,0,
238,Liam Jones,Manchester Hawks,8,3,75.0000000000000000,"0","0","0","3 match30 min",0,,0,
112,William Smith,Paris Kings,6,0,75.0000000000000000,"0","0","1","2 match45 min",1,,0,
59,Alexander Rodriguez,Turin Stars,5,6,70.0000000000000000,"0","0","0","2 match30 min",0,,1,
289,James Martinez,Arsenal Stars,2,0,90.0000000000000000,"0","1","0","1 match0 min",0,,0,
268,Alexander Johnson,Chelsea United,7,1,69.0000000000000000,"1","0","1","3 match75 min",0,,0,
65,Alexander Brown,Naples FC,5,4,85.0000000000000000,"0","0","0","2 match75 min",0,,1,
127,Daniel Jones,Lyon Warriors,3,1,67.5000000000000000,"0","0","0","1 match45 min",1,,0,
124,Michael Smith,Lyon Warriors,1,5,65.0000000000000000,"0","0","0","2 match15 min",1,,0,
98,James Jones,Venice Rovers,7,2,63.0000000000000000,"1","1","1","3 match45 min",0,,1,
200,William Brown,Lille Athletics,2,2,90.0000000000000000,"0","0","0","1 match0 min",1,,0,
329,Daniel Davis,Madrid United,2,0,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
11,Lucas Jones,Roma United,2,0,75.0000000000000000,"0","0","0","0 match75 min",0,,1,
44,Liam Hernandez,Turin Stars,1,2,45.0000000000000000,"0","0","0","0 match45 min",0,,1,
235,Liam Garcia,Manchester Hawks,2,1,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
82,William Garcia,Venice Rovers,7,2,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
119,William Brown,Paris Kings,4,1,52.5000000000000000,"0","0","1","1 match15 min",1,,0,
306,Daniel Jones,Barcelona FC,6,1,75.0000000000000000,"0","0","1","1 match60 min",0,,0,
286,Henry Smith,Arsenal Stars,4,0,82.5000000000000000,"0","0","1","1 match75 min",0,,0,
376,William Miller,Seville Stars,0,0,45.0000000000000000,"0","0","0","0 match45 min",0,,0,
153,James Garcia,Marseille United,4,1,82.5000000000000000,"0","0","1","1 match75 min",1,,0,
279,Lucas Smith,Chelsea United,3,2,67.5000000000000000,"0","0","0","1 match45 min",0,,0,
214,William Martinez,London Lions,4,2,90.0000000000000000,"0","0","1","2 match0 min",0,,0,
9,Oliver Jones,Roma United,5,5,67.5000000000000000,"0","1","0","3 match0 min",0,,1,
202,Daniel Jones,London Lions,2,0,60.0000000000000000,"0","1","0","0 match60 min",0,,0,
338,William Miller,Madrid United,5,0,60.0000000000000000,"0","0","1","1 match30 min",0,,0,
358,Benjamin Hernandez,Valencia CF,4,0,60.0000000000000000,"0","0","1","2 match0 min",0,,0,
79,Liam Rodriguez,Naples FC,11,5,67.5000000000000000,"0","0","1","3 match0 min",0,,1,
26,Alexander Davis,Milan City,4,1,60.0000000000000000,"0","0","0","2 match0 min",0,,1,
85,Lucas Hernandez,Venice Rovers,6,7,60.0000000000000000,"0","0","0","2 match60 min",0,,1,
72,Oliver Miller,Naples FC,5,2,63.7500000000000000,"0","0","1","2 match75 min",0,,1,
95,Henry Miller,Venice Rovers,6,1,60.0000000000000000,"0","1","1","2 match0 min",0,,1,
281,Michael Garcia,Arsenal Stars,6,1,65.0000000000000000,"0","0","1","2 match15 min",0,,0,
259,James Johnson,Liverpool FC,3,0,60.0000000000000000,"0","0","1","0 match60 min",0,,0,
77,William Smith,Naples FC,4,2,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
232,Lucas Davis,Manchester Hawks,6,0,65.0000000000000000,"0","0","1","2 match15 min",0,,0,
172,Daniel Hernandez,Bordeaux FC,1,0,75.0000000000000000,"0","1","0","0 match75 min",1,,0,
302,James Rodriguez,Barcelona FC,2,2,60.0000000000000000,"0","0","0","1 match30 min",0,,0,
30,Alexander Garcia,Milan City,2,1,75.0000000000000000,"0","0","0","1 match60 min",0,,1,
288,Oliver Davis,Arsenal Stars,5,1,70.0000000000000000,"0","1","1","2 match30 min",0,,0,
21,Liam Hernandez,Milan City,3,1,75.0000000000000000,"0","0","0","3 match30 min",0,,1,
131,Henry Davis,Lyon Warriors,4,1,75.0000000000000000,"0","1","1","1 match60 min",1,,0,
3,Alexander Miller,Roma United,2,2,60.0000000000000000,"0","0","0","1 match30 min",0,,1,
198,Daniel Smith,Lille Athletics,1,0,52.5000000000000000,"0","0","0","1 match15 min",1,,0,
324,Lucas Martinez,Madrid United,5,1,67.5000000000000000,"0","0","0","3 match0 min",0,,0,
212,Benjamin Miller,London Lions,7,3,67.5000000000000000,"0","0","1","3 match0 min",0,,0,
310,Michael Martinez,Barcelona FC,2,1,75.0000000000000000,"0","0","0","1 match60 min",0,,0,
28,Benjamin Martinez,Milan City,7,2,62.5000000000000000,"1","0","1","4 match15 min",0,,1,
37,Alexander Garcia,Milan City,6,1,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
249,Daniel Miller,Liverpool FC,7,1,75.0000000000000000,"0","0","1","2 match45 min",0,,0,
353,Michael Garcia,Valencia CF,3,0,90.0000000000000000,"0","1","1","1 match0 min",0,,0,
398,Oliver Miller,Bilbao Rovers,10,2,71.2500000000000000,"0","0","1","3 match15 min",0,,0,
255,Henry Smith,Liverpool FC,3,4,65.0000000000000000,"0","1","0","2 match15 min",0,,0,
388,Daniel Rodriguez,Bilbao Rovers,6,3,82.5000000000000000,"0","1","1","1 match75 min",0,,0,
165,Benjamin Jones,Bordeaux FC,5,1,75.0000000000000000,"0","0","1","2 match45 min",1,,0,
56,William Hernandez,Turin Stars,0,1,75.0000000000000000,"0","0","0","0 match75 min",0,,1,
151,Daniel Rodriguez,Marseille United,3,2,67.5000000000000000,"0","1","0","1 match45 min",1,,0,
296,James Rodriguez,Arsenal Stars,3,0,45.0000000000000000,"0","1","1","0 match45 min",0,,0,
209,Liam Jones,London Lions,7,1,75.0000000000000000,"0","0","1","2 match45 min",0,,0,
74,William Brown,Naples FC,4,1,65.0000000000000000,"0","0","1","2 match15 min",0,,1,
138,Daniel Rodriguez,Lyon Warriors,1,2,52.5000000000000000,"0","1","0","1 match15 min",1,,0,
225,James Davis,Manchester Hawks,9,2,56.2500000000000000,"0","0","1","2 match45 min",0,,0,
34,Henry Hernandez,Milan City,4,0,67.5000000000000000,"0","0","0","3 match0 min",0,,1,
205,James Garcia,London Lions,2,0,60.0000000000000000,"0","1","0","0 match60 min",0,,0,
245,Benjamin Garcia,Liverpool FC,2,3,67.5000000000000000,"0","0","0","3 match0 min",0,,0,
83,Lucas Davis,Venice Rovers,4,1,71.2500000000000000,"0","0","0","3 match15 min",0,,1,
67,Michael Jones,Naples FC,7,4,67.5000000000000000,"0","0","1","3 match0 min",0,,1,
333,Liam Garcia,Madrid United,0,2,75.0000000000000000,"0","1","0","0 match75 min",0,,0,
63,Benjamin Davis,Naples FC,3,5,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
90,Henry Johnson,Venice Rovers,0,0,60.0000000000000000,"0","1","0","0 match60 min",0,,1,
325,William Smith,Madrid United,4,1,90.0000000000000000,"0","0","1","3 match0 min",0,,0,
216,Liam Martinez,London Lions,4,2,75.0000000000000000,"0","1","1","2 match45 min",0,,0,
